,temp,sf
0,0.01,0.1935586435340381
1,0.02,0.17736157929606303
2,0.03,0.15368119630707242
3,0.04,0.12818619344494983
4,0.05,0.09985581802902405
5,0.06,0.04550366289997956
6,0.07,0.025278986700332698
7,0.08,0.012835755248126739
8,0.09,0.0071897995969069225
9,0.1,0.005487020666587721
10,0.11,0.005597124655359712
11,0.12,0.004841046538525223
12,0.13,0.00420489187569398
13,0.14,0.0038957915044078033
14,0.15,0.0042934274804350215
15,0.16,0.0033888895595713805
16,0.17,0.003323273219954629
17,0.18,0.00401872142867317
18,0.19,0.003216827046663601
19,0.2,0.0036392864215911485
20,0.21,0.0034610237113368043
21,0.22,0.0031119241810391675
22,0.23,0.0033978205548486477
23,0.24,0.0033998011986490044
24,0.25,0.0035702230659270333
25,0.26,0.0035384558238514686
26,0.27,0.0034281155509306676
27,0.28,0.0033612024085831428
28,0.29,0.0034637470349738065
29,0.3,0.0034220927334944226
