,temp,sf
0,0.01,0.44975826579149164
1,0.02,0.4312881062699412
2,0.03,0.39251452745988813
3,0.04,0.3536464550244613
4,0.05,0.31782920863568886
5,0.06,0.2846413908938122
6,0.07,0.2610351069971712
7,0.08,0.22071904765641281
8,0.09,0.20001017803093427
9,0.1,0.12889671557725096
10,0.11,0.07687774268200379
11,0.12,0.048534889809563775
12,0.13,0.023664680384074002
13,0.14,0.015379059669594537
14,0.15,0.016967598405363188
15,0.16,0.010806815546832032
16,0.17,0.008489609934421279
17,0.18,0.007814871169827339
18,0.19,0.007216692779246537
19,0.2,0.006224957982664181
20,0.21,0.006001749603273003
21,0.22,0.005349668100491405
22,0.23,0.005286059028380498
23,0.24,0.004934509586716775
24,0.25,0.004709069479943894
25,0.26,0.0044920180185790215
26,0.27,0.0046353534725487215
27,0.28,0.004370892285858521
28,0.29,0.004024251426051102
29,0.3,0.004525878730184775
