,temp,sf
0,0.01,0.6287487795784643
1,0.02,0.5791492882387
2,0.03,0.5392495782955472
3,0.04,0.4981501694070494
4,0.05,0.4136508650746389
5,0.06,0.3555742075096778
6,0.07,0.2841525382404494
7,0.08,0.23498668251757998
8,0.09,0.10251095767519464
9,0.1,0.09535399183691913
10,0.11,0.030841848662299883
11,0.12,0.019816595686098875
12,0.13,0.015149908316693812
13,0.14,0.013278934257729198
14,0.15,0.008880378181654179
15,0.16,0.008876300120920931
16,0.17,0.00822317588652085
17,0.18,0.005852025494087699
18,0.19,0.006884659475651429
19,0.2,0.0061705112823583885
20,0.21,0.005329227776205655
21,0.22,0.00532292465121771
22,0.23,0.005267619858695584
23,0.24,0.0051842136960380935
24,0.25,0.004242061891620937
25,0.26,0.004925863130917956
26,0.27,0.00440670731684453
27,0.28,0.0038463922981293477
28,0.29,0.003984807472641124
29,0.3,0.004090542523793071
