,temp,sf
0,0.01,0.5617804493189564
1,0.02,0.5220703092878966
2,0.03,0.47757337787500254
3,0.04,0.43440245012222634
4,0.05,0.3581738111985463
5,0.06,0.3489193753973429
6,0.07,0.3282199302997391
7,0.08,0.23234008878687773
8,0.09,0.2175395387750103
9,0.1,0.06839251087993424
10,0.11,0.07313129221053538
11,0.12,0.025094716324337463
12,0.13,0.02256447356735674
13,0.14,0.014653892611034152
14,0.15,0.012955599877474227
15,0.16,0.009059133371093965
16,0.17,0.0086208936559851
17,0.18,0.007868693480187637
18,0.19,0.007183362269099064
19,0.2,0.006613257769563673
20,0.21,0.006017803898582946
21,0.22,0.007274436718759654
22,0.23,0.005580952557634393
23,0.24,0.005604862860287871
24,0.25,0.0041265908745491955
25,0.26,0.004501709298181216
26,0.27,0.005080408659837834
27,0.28,0.004589793820863752
28,0.29,0.004885684361493561
29,0.3,0.0042828313519973965
